node:148 rate:1.425 new_rtt12.282 c:1.055 rttpred:12162.481 rtttarget:15330.000 rttmin12264.000 e:-0.207 eold:-0.206 eavg:-0.123 flag:1
node:148 rate:3.946 new_rtt4.176 c:1.061 rttpred:4132.054 rtttarget:5220.000 rttmin4176.000 e:-0.208 eold:-0.208 eavg:-0.185 flag:1
node:148 rate:3.304 new_rtt8.220 c:1.061 rttpred:8136.196 rtttarget:10275.000 rttmin8220.000 e:-0.208 eold:-0.208 eavg:-0.182 flag:1
node:148 rate:1.633 new_rtt19.178 c:0.980 rttpred:17012.410 rtttarget:15330.000 rttmin12264.000 e:0.110 eold:0.090 eavg:-0.054 flag:1
node:148 rate:4.187 new_rtt4.176 c:1.061 rttpred:4131.801 rtttarget:5220.000 rttmin4176.000 e:-0.208 eold:-0.208 eavg:-0.186 flag:1
node:148 rate:1.398 new_rtt12.284 c:1.056 rttpred:12157.164 rtttarget:15330.000 rttmin12264.000 e:-0.207 eold:-0.207 eavg:-0.139 flag:1
node:148 rate:1.000 new_rtt12.272 c:0.980 rttpred:12121.788 rtttarget:11037.600 rttmin12264.000 e:0.098 eold:0.103 eavg:0.000 flag:1
node:148 rate:4.444 new_rtt4.238 c:1.052 rttpred:4275.829 rtttarget:5220.000 rttmin4176.000 e:-0.181 eold:-0.208 eavg:-0.185 flag:1
node:148 rate:3.505 new_rtt8.220 c:1.061 rttpred:8135.173 rtttarget:10275.000 rttmin8220.000 e:-0.208 eold:-0.208 eavg:-0.183 flag:1
node:148 rate:1.503 new_rtt12.280 c:1.056 rttpred:12147.034 rtttarget:15330.000 rttmin12264.000 e:-0.208 eold:-0.207 eavg:-0.130 flag:1
node:148 rate:4.675 new_rtt4.176 c:1.071 rttpred:4034.222 rtttarget:5220.000 rttmin4176.000 e:-0.227 eold:-0.181 eavg:-0.187 flag:1
node:148 rate:3.719 new_rtt8.255 c:1.058 rttpred:8215.499 rtttarget:10275.000 rttmin8220.000 e:-0.200 eold:-0.208 eavg:-0.183 flag:1
node:148 rate:5.008 new_rtt4.176 c:1.059 rttpred:4131.569 rtttarget:5220.000 rttmin4176.000 e:-0.209 eold:-0.227 eavg:-0.187 flag:1
node:148 rate:1.601 new_rtt18.435 c:0.991 rttpred:16605.777 rtttarget:15330.000 rttmin12264.000 e:0.083 eold:0.110 eavg:-0.049 flag:1
node:148 rate:1.000 new_rtt12.264 c:0.970 rttpred:12118.932 rtttarget:11037.600 rttmin12264.000 e:0.098 eold:0.098 eavg:0.098 flag:1
